Function,Generated,Ground Truth
"public void testAtLeastOnceProducer() throws Throwable {
    final DummyFlinkKafkaProducer<String> producer =
            new DummyFlinkKafkaProducer<>(
                    FakeStandardProducerConfig.get(),
                    new KeyedSerializationSchemaWrapper<>(new SimpleStringSchema()),
                    null);
    producer.setFlushOnCheckpoint(true);

    final KafkaProducer<?, ?> mockProducer = producer.getMockKafkaProducer();

    final OneInputStreamOperatorTestHarness<String, Object> testHarness =
            new OneInputStreamOperatorTestHarness<>(new StreamSink<>(producer));

    testHarness.open();

    testHarness.processElement(new StreamRecord<>(""msg-1""));
    testHarness.processElement(new StreamRecord<>(""msg-2""));
    testHarness.processElement(new StreamRecord<>(""msg-3""));

    verify(mockProducer, times(3)).send(any(ProducerRecord.class), any(Callback.class));
    Assert.assertEquals(3, producer.getPendingSize());

        
    CheckedThread snapshotThread =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                        
                        
                        
                    testHarness.snapshot(123L, 123L);
                }
            };
    snapshotThread.start();

        
        
        
    producer.waitUntilFlushStarted();
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());

        
    producer.getPendingCallbacks().get(0).onCompletion(null, null);
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());
    Assert.assertEquals(2, producer.getPendingSize());

    producer.getPendingCallbacks().get(1).onCompletion(null, null);
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());
    Assert.assertEquals(1, producer.getPendingSize());

    producer.getPendingCallbacks().get(2).onCompletion(null, null);
    Assert.assertEquals(0, producer.getPendingSize());

        
        
    snapshotThread.sync();

    testHarness.close();
}", test at least once producer,test ensuring that the producer is not dropping buffered records we set a timeout because the test will not finish if the logic is broken
"public void testConfigOptionExclusion() {
    final String expectedTable =
            ""<table class=\""configuration table table-bordered\"">\n""
                    + ""    <thead>\n""
                    + ""        <tr>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 20%\"">Key</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 15%\"">Default</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 10%\"">Type</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 55%\"">Description</th>\n""
                    + ""        </tr>\n""
                    + ""    </thead>\n""
                    + ""    <tbody>\n""
                    + ""        <tr>\n""
                    + ""            <td><h5>first.option.a</h5></td>\n""
                    + ""            <td style=\""word-wrap: break-word;\"">2</td>\n""
                    + ""            <td>Integer</td>\n""
                    + ""            <td>This is example description for the first option.</td>\n""
                    + ""        </tr>\n""
                    + ""    </tbody>\n""
                    + ""</table>\n"";
    final String htmlTable =
            ConfigOptionsDocGenerator.generateTablesForClass(TestConfigGroupWithExclusion.class)
                    .get(0)
                    .f1;

    assertEquals(expectedTable, htmlTable);
}", tests config option exclusion,tests that config option annotated with documentation
"public T tryPollEntry() {
    return pool.poll();
}",1) returns a pooled entry if any is available,tries to get the next cached entry
"public void testLocalOverSizedResponseMsgSync() throws Exception {
    final String message =
            runLocalMessageResponseTest(OVERSIZED_PAYLOAD, MessageRpcGateway::messageSync);
    assertThat(message, is(equalTo(OVERSIZED_PAYLOAD)));
}",0 tests run,tests that we can send arbitrarily large objects when communicating locally with the rpc endpoint
"public void setPlannerConfig(PlannerConfig plannerConfig) {
    this.plannerConfig = Preconditions.checkNotNull(plannerConfig);
}",1. set the planner config,sets the configuration of planner for table api and sql queries
"public CompletableFuture<?> getAvailableFuture() {
    return availabilityHelper.getAvailableFuture();
}",0. below is an instruction that describes a task write a response that appropriately completes the request,returns a future that is completed when there are free segments in this pool
"private List<RequestEntryT> createNextAvailableBatch() {
    int batchSize = Math.min(maxBatchSize, bufferedRequestEntries.size());
    List<RequestEntryT> batch = new ArrayList<>(batchSize);

    int batchSizeBytes = 0;
    for (int i = 0; i < batchSize; i++) {
        long requestEntrySize = bufferedRequestEntries.peek().getSize();
        if (batchSizeBytes + requestEntrySize > maxBatchSizeInBytes) {
            break;
        }
        RequestEntryWrapper<RequestEntryT> elem = bufferedRequestEntries.remove();
        batch.add(elem.getRequestEntry());
        bufferedRequestEntriesTotalSizeInBytes -= requestEntrySize;
        batchSizeBytes += requestEntrySize;
    }

    numRecordsOutCounter.inc(batch.size());
    numBytesOutCounter.inc(batchSizeBytes);

    return batch;
}",0,creates the next batch of request entries while respecting the max batch size and max batch size in bytes
"public static List<Vertex<Long, Long>> getLongLongVertices() {
    List<Vertex<Long, Long>> vertices = new ArrayList<>();
    vertices.add(new Vertex<>(1L, 1L));
    vertices.add(new Vertex<>(2L, 2L));
    vertices.add(new Vertex<>(3L, 3L));
    vertices.add(new Vertex<>(4L, 4L));
    vertices.add(new Vertex<>(5L, 5L));

    return vertices;
}",4 vertices,function that produces an array list of vertices
"public void testBackpressure() throws Throwable {
    final Deadline deadline = Deadline.fromNow(Duration.ofSeconds(10));

    final DummyFlinkKinesisProducer<String> producer =
            new DummyFlinkKinesisProducer<>(new SimpleStringSchema());
    producer.setQueueLimit(1);

    OneInputStreamOperatorTestHarness<String, Object> testHarness =
            new OneInputStreamOperatorTestHarness<>(new StreamSink<>(producer));

    testHarness.open();

    UserRecordResult result = mock(UserRecordResult.class);
    when(result.isSuccessful()).thenReturn(true);

    CheckedThread msg1 =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                    testHarness.processElement(new StreamRecord<>(""msg-1""));
                }
            };
    msg1.start();
    msg1.trySync(deadline.timeLeftIfAny().toMillis());
    assertFalse(""Flush triggered before reaching queue limit"", msg1.isAlive());

        
    producer.getPendingRecordFutures().get(0).set(result);

    CheckedThread msg2 =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                    testHarness.processElement(new StreamRecord<>(""msg-2""));
                }
            };
    msg2.start();
    msg2.trySync(deadline.timeLeftIfAny().toMillis());
    assertFalse(""Flush triggered before reaching queue limit"", msg2.isAlive());

    CheckedThread moreElementsThread =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                        
                    testHarness.processElement(new StreamRecord<>(""msg-3""));
                        
                    testHarness.processElement(new StreamRecord<>(""msg-4""));
                }
            };
    moreElementsThread.start();

    assertTrue(""Producer should still block, but doesn't"", moreElementsThread.isAlive());

        
    while (producer.getPendingRecordFutures().size() < 2) {
        Thread.sleep(50);
    }
    producer.getPendingRecordFutures().get(1).set(result);

    assertTrue(""Producer should still block, but doesn't"", moreElementsThread.isAlive());

        
    while (producer.getPendingRecordFutures().size() < 3) {
        Thread.sleep(50);
    }
    producer.getPendingRecordFutures().get(2).set(result);

    moreElementsThread.trySync(deadline.timeLeftIfAny().toMillis());

    assertFalse(
            ""Prodcuer still blocks although the queue is flushed"",
            moreElementsThread.isAlive());

    producer.getPendingRecordFutures().get(3).set(result);

    testHarness.close();
}",1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1,test ensuring that the producer blocks if the queue limit is exceeded until the queue length drops below the limit we set a timeout because the test will not finish if the logic is broken
"protected SqlNode performUnconditionalRewrites(SqlNode node, boolean underFrom) {
    if (node == null) {
        return null;
    }

    SqlNode newOperand;

        
    if (node instanceof SqlCall) {
        if (node instanceof SqlMerge) {
            validatingSqlMerge = true;
        }
        SqlCall call = (SqlCall) node;
        final SqlKind kind = call.getKind();
        final List<SqlNode> operands = call.getOperandList();
        for (int i = 0; i < operands.size(); i++) {
            SqlNode operand = operands.get(i);
            boolean childUnderFrom;
            if (kind == SqlKind.SELECT) {
                childUnderFrom = i == SqlSelect.FROM_OPERAND;
            } else if (kind == SqlKind.AS && (i == 0)) {
                    
                    
                childUnderFrom = underFrom;
            } else {
                childUnderFrom = false;
            }
            newOperand = performUnconditionalRewrites(operand, childUnderFrom);
            if (newOperand != null && newOperand != operand) {
                call.setOperand(i, newOperand);
            }
        }

        if (call.getOperator() instanceof SqlUnresolvedFunction) {
            assert call instanceof SqlBasicCall;
            final SqlUnresolvedFunction function = (SqlUnresolvedFunction) call.getOperator();
                
                
                
                
            final List<SqlOperator> overloads = new ArrayList<>();
            opTab.lookupOperatorOverloads(
                    function.getNameAsId(),
                    function.getFunctionType(),
                    SqlSyntax.FUNCTION,
                    overloads,
                    catalogReader.nameMatcher());
            if (overloads.size() == 1) {
                ((SqlBasicCall) call).setOperator(overloads.get(0));
            }
        }
        if (config.callRewrite()) {
            node = call.getOperator().rewriteCall(this, call);
        }
    } else if (node instanceof SqlNodeList) {
        SqlNodeList list = (SqlNodeList) node;
        for (int i = 0, count = list.size(); i < count; i++) {
            SqlNode operand = list.get(i);
            newOperand = performUnconditionalRewrites(operand, false);
            if (newOperand != null) {
                list.getList().set(i, newOperand);
            }
        }
    }

        
    final SqlKind kind = node.getKind();
    switch (kind) {
        case VALUES:
                
            if (underFrom || true) {
                    
                    
                    
                return node;
            } else {
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                return new SqlSelect(
                        node.getParserPosition(),
                        null,
                        selectList,
                        node,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null);
            }

        case ORDER_BY:
            {
                SqlOrderBy orderBy = (SqlOrderBy) node;
                handleOffsetFetch(orderBy.offset, orderBy.fetch);
                if (orderBy.query instanceof SqlSelect) {
                    SqlSelect select = (SqlSelect) orderBy.query;

                        
                        
                    if (select.getOrderList() == null) {
                            
                        select.setOrderBy(orderBy.orderList);
                        select.setOffset(orderBy.offset);
                        select.setFetch(orderBy.fetch);
                        return select;
                    }
                }
                if (orderBy.query instanceof SqlWith
                        && ((SqlWith) orderBy.query).body instanceof SqlSelect) {
                    SqlWith with = (SqlWith) orderBy.query;
                    SqlSelect select = (SqlSelect) with.body;

                        
                        
                    if (select.getOrderList() == null) {
                            
                        select.setOrderBy(orderBy.orderList);
                        select.setOffset(orderBy.offset);
                        select.setFetch(orderBy.fetch);
                        return with;
                    }
                }
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                final SqlNodeList orderList;
                if (getInnerSelect(node) != null && isAggregate(getInnerSelect(node))) {
                    orderList = SqlNode.clone(orderBy.orderList);
                        
                        
                    for (int i = 0; i < orderList.size(); i++) {
                        SqlNode sqlNode = orderList.get(i);
                        SqlNodeList selectList2 = getInnerSelect(node).getSelectList();
                        for (Ord<SqlNode> sel : Ord.zip(selectList2)) {
                            if (stripAs(sel.e).equalsDeep(sqlNode, Litmus.IGNORE)) {
                                orderList.set(
                                        i,
                                        SqlLiteral.createExactNumeric(
                                                Integer.toString(sel.i + 1),
                                                SqlParserPos.ZERO));
                            }
                        }
                    }
                } else {
                    orderList = orderBy.orderList;
                }
                return new SqlSelect(
                        SqlParserPos.ZERO,
                        null,
                        selectList,
                        orderBy.query,
                        null,
                        null,
                        null,
                        null,
                        orderList,
                        orderBy.offset,
                        orderBy.fetch,
                        null);
            }

        case EXPLICIT_TABLE:
            {
                    
                SqlCall call = (SqlCall) node;
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                return new SqlSelect(
                        SqlParserPos.ZERO,
                        null,
                        selectList,
                        call.operand(0),
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null);
            }

        case DELETE:
            {
                SqlDelete call = (SqlDelete) node;
                SqlSelect select = createSourceSelectForDelete(call);
                call.setSourceSelect(select);
                break;
            }

        case UPDATE:
            {
                SqlUpdate call = (SqlUpdate) node;
                SqlSelect select = createSourceSelectForUpdate(call);
                call.setSourceSelect(select);

                    
                    
                    
                if (!validatingSqlMerge) {
                    SqlNode selfJoinSrcExpr =
                            getSelfJoinExprForUpdate(call.getTargetTable(), UPDATE_SRC_ALIAS);
                    if (selfJoinSrcExpr != null) {
                        node = rewriteUpdateToMerge(call, selfJoinSrcExpr);
                    }
                }
                break;
            }

        case MERGE:
            {
                SqlMerge call = (SqlMerge) node;
                rewriteMerge(call);
                break;
            }
    }
    return node;
}","
    
    
    public static SqlNode rewriteMerge(SqlMerge merge) {
        
        SqlNodeList targetList = merge.getTargetList();
        if (targetList.size() != 1) {
            throw new IllegalArgumentException(
                    ""merge statement must have exactly one target list"");
        }
        SqlNode target = targetList.get(0);
        if (!(target instanceof SqlNodeList)) {
            throw new IllegalArgumentException(
                    ""merge statement target must be a list of tables"");
        }
        SqlNodeList tables = (SqlNodeList) target;
        SqlNodeList sourceList = merge.getSourceList();
        if (sourceList.size() != 1) {
            throw new IllegalArgumentException(
                    ""merge statement must have exactly one source list"");
        }
        SqlNode source = sourceList.get(0);
        if (!(source instanceof SqlNodeList)) {
            throw new IllegalArgumentException(
                    ""merge statement source must be a list of tables"");
        }
        SqlNodeList sourceTables = (SqlNodeList",performs expression rewrites which are always used unconditionally
"private FileSystem getFileSystem() throws IOException {
    return FileSystem.get(filePath.toUri());
}",1. get file system for the given file path,gets the file system that stores the file state
