Function,Generated,Ground Truth
"def probitloglike(params, endog, exog): 
    q = ((2 * endog) - 1) 
   X = exog 
   return np.add.reduce(stats.norm.logcdf((q * np.dot(X, params))))"," 'Probit-Log-Likelihood function. 
 Parameters 
 params : array-like 
 The parameters. 
 endog : 1-D array-like 
 The endogenous variables. 
 exog : 1-D array-like 
 The exogenous variables. 
 Returns 
 logL : float 
 The log-likelihood function. 
 Notes 
 This function is based on the function `loglike` from the `scipy.stats` 
 package. 
 References 
 .. [1] http://en.wikipedia.org/wiki/Probit 
 .. [2] http://en.wikipedia.org/wiki/Log-likelihood_ratio_test 
 Examples 
 >>> from statsmodels.regression.linear_model import probitloglike 
 >>> params = np.array([[0.000000000000000000000000000000000000000000000000000000000000000",'Log likelihood for the probit'
"def test_pix2world(): 
    filename = get_pkg_data_filename(u'data/sip2.fits') 
   with catch_warnings(wcs.wcs.FITSFixedWarning) as caught_warnings: 
      ww = wcs.WCS(filename) 
      assert (len(caught_warnings) == 1) 
   n = 3 
   pixels = (np.arange(n) * np.ones((2, n))).T 
   result = ww.wcs_pix2world(pixels, 0, ra_dec_order=True) 
   ww.wcs_pix2world(pixels[..., 0], pixels[..., 1], 0, ra_dec_order=True) 
   close_enough = 1e-08 
   answer = np.array([[0.00024976, 0.00023018], [0.00023043, (-0.00024997)]]) 
   assert np.all((np.abs((ww.wcs.pc - answer)) < close_enough)) 
   answer = np.array([[202.39265216, 47.17756518], [202.39335826, 47.17754619], [202.39406436, 47.1775272]]) 
   assert np.all((np.abs((result - answer)) < close_enough))", 'Test the wcs_pix2world method','From github issue #1463'
"def influence_plot(results, external=True, alpha=0.05, criterion='cooks', size=48, plot_alpha=0.75, ax=None, **kwargs): 
    (fig, ax) = utils.create_mpl_ax(ax) 
   infl = results.get_influence() 
   if criterion.lower().startswith('coo'): 
      psize = infl.cooks_distance[0] 
   elif criterion.lower().startswith('dff'): 
      psize = np.abs(infl.dffits[0]) 
   else: 
      raise ValueError(('Criterion   %s   not   understood' % criterion)) 
   old_range = np.ptp(psize) 
   new_range = ((size ** 2) - (8 ** 2)) 
   psize = ((((psize - psize.min()) * new_range) / old_range) + (8 ** 2)) 
   leverage = infl.hat_matrix_diag 
   if external: 
      resids = infl.resid_studentized_external 
   else: 
      resids = infl.resid_studentized_internal 
   from scipy import stats 
   cutoff = stats.t.ppf((1.0 - (alpha / 2)), results.df_resid) 
   large_resid = (np.abs(resids) > cutoff) 
   large_leverage = (leverage > _high_leverage(results)) 
   large_points = np.logical_or(large_resid, large_leverage) 
   ax.scatter(leverage, resids, s=psize, alpha=plot_alpha) 
   labels = results.model.data.row_labels 
   if (labels is None): 
      labels = lrange(len(resids)) 
   ax = utils.annotate_axes(np.where(large_points)[0], labels, lzip(leverage, resids), lzip((- ((psize / 2) ** 0.5)), ((psize / 2) ** 0.5)), 'x-large', ax) 
   font = {'fontsize': 16, 'color': 'black'} 
   ax.set_ylabel('Studentized   Residuals', **font) 
   ax.set_xlabel('H   Leverage', **font) 
   ax.set_title('Influence   Plot', **font) 
   return fig"," 'Create an influence plot. 
 Parameters 
 results : Results object 
 The results object to be plotted. 
 external : bool 
 If True, then the external residuals are plotted. 
 alpha : float 
 The significance level for the test. 
 criterion : \'cooks\' or \'dff\' 
 The criterion for determining which residuals are large. 
 size : int 
 The size of the influence plot. 
 plot_alpha : float 
 The alpha value for the points. 
 ax : matplotlib axes 
 The axes to plot the figure on. 
 kwargs : dict 
 Keyword arguments are passed to the `matplotlib.axes.Axes.scatter` method. 
 Returns 
 fig : matplotlib figure 
 The figure containing the plot. 
 Examples 
 >>> results = Results(model, data) 
 >>> results.fit() 
 >>> influence_plot(results, external=True) 
 >>> influence_plot(results, external=False) 
 >>> influence_plot(results, alpha=0.001)'","'Plot of influence in regression. Plots studentized resids vs. leverage. 
 Parameters 
 results : results instance 
 A fitted model. 
 external : bool 
 Whether to use externally or internally studentized residuals. It is 
 recommended to leave external as True. 
 alpha : float 
 The alpha value to identify large studentized residuals. Large means 
 abs(resid_studentized) > t.ppf(1-alpha/2, dof=results.df_resid) 
 criterion : str {\'DFFITS\', \'Cooks\'} 
 Which criterion to base the size of the points on. Options are 
 DFFITS or Cook\'s D. 
 size : float 
 The range of `criterion` is mapped to 10**2 - size**2 in points. 
 plot_alpha : float 
 The `alpha` of the plotted points. 
 ax : matplotlib Axes instance 
 An instance of a matplotlib Axes. 
 Returns 
 fig : matplotlib figure 
 The matplotlib figure that contains the Axes. 
 Notes 
 Row labels for the observations in which the leverage, measured by the 
 diagonal of the hat matrix, is high or the residuals are large, as the 
 combination of large residuals and a high influence value indicates an 
 influence point. The value of large residuals can be controlled using the 
 `alpha` parameter. Large leverage points are identified as 
 hat_i > 2 * (df_model + 1)/nobs.'"
"def send_file(name, data): 
    nf = NetlogFile(name) 
   nf.sock.sendall(data) 
   nf.close()"," 'Send a file to a remote NetlogFile. 
 :param name: the name of the file to send 
 :param data: the data to send'",'Send file to result server'
"def root_create(request): 
    root = get_or_create_root() 
   return redirect('wiki:get', path=root.path)", 'Redirects to the root page.',"'In the edX wiki, we don\'t show the root_create view. Instead, we 
 just create the root automatically if it doesn\'t exist.'"
"def block_device_mapping_update_or_create(context, values): 
    return IMPL.block_device_mapping_update_or_create(context, values)"," 'Update or create a block device mapping. 
 :param values: The values to update or create. 
 :returns: A block device mapping.'","'Update an entry of block device mapping. 
 If not existed, create a new entry'"
"@profiler.trace 
 @memoized 
 def flavor_list(request, is_public=True, get_extras=False): 
    flavors = novaclient(request).flavors.list(is_public=is_public) 
   if get_extras: 
      for flavor in flavors: 
         flavor.extras = flavor_get_extras(request, flavor.id, True, flavor) 
   return flavors"," 'Get a list of flavors. 
 This method returns a list of flavors. 
 If ``get_extras=True`` is set, then the ``extras`` dictionary is also 
 populated. 
 If ``get_extras=False`` is set, then the ``extras`` dictionary is not 
 populated. 
 :param request: The request to use for authentication. 
 :param is_public: Whether to only return public flavors. 
 :param get_extras: Whether to get the extras dictionary. 
 :returns: A list of flavors. 
 :rtype: list'",'Get the list of available instance sizes (flavors).'
"def build_content_type(format, encoding=u'utf-8'): 
    if (u'charset' in format): 
      return format 
   if (format in (u'application/json', u'text/javascript')): 
      return format 
   return (u'%s;   charset=%s' % (format, encoding))"," 'Build a content type from a format string. 
 :param format: a format string 
 :param encoding: the encoding to use 
 :returns: the content type'",'Appends character encoding to the provided format if not already present.'
"def assign_random_category(resource): 
    random_index = randint(0, (TopicCategory.objects.all().count() - 1)) 
   tc = TopicCategory.objects.all()[random_index] 
   resource.category = tc 
   resource.save()"," 'Assign a random category to the resource. 
 :param resource: The resource to assign a category to. 
 :type resource: django.db.models.Model 
 :return: The resource with the category assigned.'",'Assign a random category to a resource'
"@contextlib.contextmanager 
 def temporary_mutation(obj, **kwargs): 
    NOT_PRESENT = object() 
   old_values = {} 
   for (attr, new_value) in kwargs.items(): 
      old_values[attr] = getattr(obj, attr, NOT_PRESENT) 
      setattr(obj, attr, new_value) 
   try: 
      (yield) 
   finally: 
      for (attr, old_value) in old_values.items(): 
         if (old_value is NOT_PRESENT): 
            del obj[attr] 
         else: 
            setattr(obj, attr, old_value)"," 'Context manager that temporarily mutates an object. 
 :param obj: The object to mutate. 
 :param kwargs: The mutation to apply. 
 :raises AssertionError: If the mutation fails. 
 :returns: The original object. 
 :rtype: object'","'Temporarily set the attr on a particular object to a given value then 
 revert when finished. 
 One use of this is to temporarily set the read_deleted flag on a context 
 object: 
 with temporary_mutation(context, read_deleted=""yes""): 
 do_something_that_needed_deleted_objects()'"
"def is_harvard_notes_enabled(course): 
    modules = set(['textannotation', 'imageannotation', 'videoannotation']) 
   return bool(modules.intersection(course.advanced_modules))"," 'Check if Harvard Notes are enabled for a course. 
 Returns True if the course has at least one advanced module enabled 
 that is a Harvard Notes module.'","'Returns True if Harvard Annotation Tool is enabled for the course, 
 False otherwise. 
 Checks for \'textannotation\', \'imageannotation\', \'videoannotation\' in the list 
 of advanced modules of the course.'"
"def seqs_from_file(ids, file_lines): 
    for (label, seq) in parse_fasta(file_lines): 
      if (id_from_fasta_label_line(label) in ids): 
         (yield (label, seq))"," 'Returns a sequence object for each sequence in a fasta file. 
 :param ids: a list of ids to search for in the file 
 :type ids: list 
 :param file_lines: a list of lines from the file 
 :type file_lines: list 
 :return: a list of (label, seq) tuples 
 :rtype: list'",'Extract labels and seqs from file'
"def dice_coe(output, target, epsilon=1e-10): 
    inse = tf.reduce_sum((output * target)) 
   l = tf.reduce_sum((output * output)) 
   r = tf.reduce_sum((target * target)) 
   dice = ((2 * inse) / (l + r)) 
   if (epsilon == 0): 
      return dice 
   else: 
      return tf.clip_by_value(dice, 0, (1.0 - epsilon))"," 'Computes dice coefficient between two tensors. 
 Computes the dice coefficient between two tensors. 
 The dice coefficient is defined as the harmonic mean of the product 
 and sum of the two tensors. 
 This is the same as the equation for dice coefficient in [1]_. 
 Parameters 
 output : tensor 
 The first tensor. 
 target : tensor 
 The second tensor. 
 epsilon : float, optional 
 The epsilon value to clip the dice coefficient by. 
 Returns 
 dice : tensor 
 The dice coefficient. 
 References 
 .. [1] http://en.wikipedia.org/wiki/Dice_coefficient'","'SÃ¸rensenâDice coefficient for comparing the similarity of two distributions, 
 usually be used for binary image segmentation i.e. labels are binary. 
 The coefficient = [0, 1], 1 if totally match. 
 Parameters 
 output : tensor 
 A distribution with shape: [batch_size, ....], (any dimensions). 
 target : tensor 
 A distribution with shape: [batch_size, ....], (any dimensions). 
 epsilon : float 
 An optional name to attach to this layer. 
 Examples 
 >>> outputs = tl.act.pixel_wise_softmax(network.outputs) 
 >>> dice_loss = 1 - tl.cost.dice_coe(outputs, y_, epsilon=1e-5) 
 References 
 - `wiki-dice <https://en.wikipedia.org/wiki/SÃ¸rensenâDice_coefficient>`_'"
"def _skip_create_test_db(self, verbosity=1, autoclobber=False, serialize=True): 
    if callable(getattr(self.connection.features, 'confirm', None)): 
      self.connection.features.confirm() 
   elif hasattr(self, '_rollback_works'): 
      can_rollback = self._rollback_works() 
      self.connection.settings_dict['SUPPORTS_TRANSACTIONS'] = can_rollback 
   return self._get_test_db_name()"," 'Skip test if the test database doesn\'t exist. 
 This is a convenience function for tests that don\'t need to run 
 against a real database. 
 This function will check if the test database exists, and if it doesn\'t 
 create it. 
 :param verbosity: 
 :param autoclobber: 
 :param serialize: 
 :return: 
 :rtype: 
 :raises: 
 :version: 0.2'","'``create_test_db`` implementation that skips both creation and flushing 
 The idea is to re-use the perfectly good test DB already created by an 
 earlier test run, cutting the time spent before any tests run from 5-13s 
 (depending on your I/O luck) down to 3.'"
"def upload_mission(aFileName): 
    missionlist = readmission(aFileName) 
   print ('\nUpload   mission   from   a   file:   %s' % import_mission_filename) 
   print '   Clear   mission' 
   cmds = vehicle.commands 
   cmds.clear() 
   for command in missionlist: 
      cmds.add(command) 
   print '   Upload   mission' 
   vehicle.commands.upload()"," 'Upload a mission from a file. 
 This is useful for when you have a mission that you want to run 
 more than once, but you don\'t want to type it in again. 
 You can use the import_mission_filename command to save the mission 
 to a file, and then upload it with this command.'",'Upload a mission from a file.'
"def evaluator(variables, functions, math_expr, case_sensitive=False): 
    if (math_expr.strip() == ''): 
      return float('nan') 
   math_interpreter = ParseAugmenter(math_expr, case_sensitive) 
   math_interpreter.parse_algebra() 
   (all_variables, all_functions) = add_defaults(variables, functions, case_sensitive) 
   math_interpreter.check_variables(all_variables, all_functions) 
   if case_sensitive: 
      casify = (lambda x: x) 
   else: 
      casify = (lambda x: x.lower()) 
   evaluate_actions = {'number': eval_number, 'variable': (lambda x: all_variables[casify(x[0])]), 'function': (lambda x: all_functions[casify(x[0])](x[1])), 'atom': eval_atom, 'power': eval_power, 'parallel': eval_parallel, 'product': eval_product, 'sum': eval_sum} 
   return math_interpreter.reduce_tree(evaluate_actions)"," 'Evaluates an expression using the given variables and functions. 
 The variables and functions are a dictionary mapping variable names to 
 functions and a dictionary mapping function names to functions. 
 If the given expression is a number, it is returned as-is. 
 If the given expression is a variable, it is replaced by the corresponding 
 function in the variables dictionary. 
 If the given expression is a function, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is an atom, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a power, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a parallel, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a product, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a sum, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a function call, it is replaced by the corresponding 
 function in the functions dictionary. 
 If the given expression is a","'Evaluate an expression; that is, take a string of math and return a float. 
 -Variables are passed as a dictionary from string to value. They must be 
 python numbers. 
 -Unary functions are passed as a dictionary from string to function.'"
"def make_pie_chart(data, dir_path, level, prefs, pref_colors, background_color, label_color, generate_image_type, plot_width, plot_height, bar_width, dpi, include_html_legend, file_prefix=None, props={}, others_key='All   Other   Categories', others_color='#eeeeee', should_capitalize=True): 
    if (not data): 
      raise ValueError('No   data   available   for   pie   chart.') 
   all_fracs = [] 
   all_labels = [] 
   colors = [] 
   for (color_ix, (c_label, c_frac)) in enumerate(data): 
      if (c_label == others_key): 
         colors.append(others_color) 
      else: 
         colors.append(data_colors[pref_colors[c_label]].toHex()) 
      all_fracs.append(c_frac) 
      if should_capitalize: 
         capital = ('%s   (%.2f%%)' % (c_label.capitalize(), (c_frac * 100.0))) 
         all_labels.append(capital) 
      else: 
         all_labels.append(('%s   (%.2f%%)' % (c_label, (c_frac * 100.0)))) 
   rc('font', size='10') 
   rc('text', color=label_color) 
   rc('patch', linewidth=0.1) 
   rc('axes', linewidth=0.5, edgecolor=label_color) 
   rc('text', usetex=False) 
   fig = figure(randrange(10000), figsize=(plot_width, plot_height)) 
   fp = FontProperties() 
   fp.set_size('8') 
   if (len(data) > 30): 
      loc = 4 
   else: 
      loc = 5 
   mtitle = 'Pie   Chart' 
   if ('title' in props): 
      mtitle = props['title'] 
   axis('off') 
   title(mtitle, fontsize='10', color=label_color) 
   ax = axes([0.0, 0.0, 0.5, 1]) 
   p1 = pie(all_fracs, shadow=False, colors=colors) 
   if (file_prefix is None): 
      img_name = make_img_name(file_ext='.png') 
   else: 
      img_name = file_prefix 
   img_abs = os.path.join(dir_path, 'charts', img_name) 
   savefig(img_abs, dpi=dpi, facecolor=background_color) 
   eps_link = '' 
   eps_abs = '' 
   if (file_prefix is None): 
      eps_img_name = make_img_name(file_ext=('.%s' % generate_image_type)) 
   else: 
      eps_img_name = (file_prefix + ('.%s' % generate_image_type)) 
   savefig(os.path.join(dir_path, 'charts', eps_img_name), facecolor=background_color) 
   if (generate_image_type == 'eps'): 
      strip_eps_font(os.path.join(dir_path, 'charts', eps_img_name)) 
   eps_abs = os.path.join(dir_path, 'charts', eps_img_name) 
   eps_link = (PDF_LINK % (os.path.join('charts', eps_img_name), ('View   Figure   (.%s)' % generate_image_type))) 
   close(fig) 
   clf() 
   updated_taxa = [] 
   updated_colors = [] 
   for i in data: 
      if (i[0] != others_key): 
         updated_taxa.append(i[0].replace('""', '')) 
         updated_colors.append(data_colors[pref_colors[i[0]]].toHex()) 
      else: 
         updated_taxa.append(others_key) 
         updated_colors.append(others_color) 
   if include_html_legend: 
      legend_fname_png = make_legend(updated_taxa, updated_colors, plot_width, plot_height, label_color, background_color, img_abs, 'png', 80) 
      legend_fpath_png = os.path.join('charts', legend_fname_png) 
   legend_fname = make_legend(updated_taxa, updated_colors, plot_width, plot_height, label_color, background_color, img_abs, generate_image_type, dpi) 
   legend_fpath = os.path.join('charts', legend_fname) 
   legend_link = (LEGEND_LINK % (legend_fpath, ('View   Legend   (.%s)' % generate_image_type))) 
   points_id = '' 
   xmap_html = '' 
   if (not include_html_legend): 
      IMG_TEXT = (IMG_SRC_minus_legend % (os.path.join('charts', img_name), points_id)) 
   else: 
      IMG_TEXT = (IMG_SRC_2 % (os.path.join('charts', img_name), points_id, legend_fpath_png)) 
   return (eps_link, legend_link, IMG_TEXT, xmap_html)"," 'Generate a pie chart. 
 Parameters 
 data : list 
 A list of tuples, where each tuple is a category and its percentage. 
 dir_path : str 
 The directory path to save the chart image. 
 level : int 
 The level of the directory path. 
 prefs : dict 
 A dictionary of preferences. 
 pref_colors : dict 
 A dictionary of color preferences. 
 background_color : str 
 The color of the background. 
 label_color : str 
 The color of the labels. 
 generate_image_type : str 
 The type of image to generate. 
 plot_width : int 
 The width of the chart. 
 plot_height : int 
 The height of the chart. 
 bar_width : int 
 The width of each bar. 
 dpi : int 
 The dots per inch resolution of the image. 
 include_html_legend : bool 
 Whether to include an HTML legend. 
 file_prefix : str 
 The prefix of the chart filename. 
 props : dict 
 A dictionary of properties to apply","'Write interactive piechart 
 data: [fraction:label,...] 
 trunc_len: truncates labels after this many chars'"
"def ismount(path): 
    try: 
      return ismount_raw(path) 
   except OSError: 
      return False"," 'Check if a mount point is mounted. 
 :param path: Path to check. 
 :type path: str 
 :return: True if mounted, False otherwise.'","'Test whether a path is a mount point. This will catch any 
 exceptions and translate them into a False return value 
 Use ismount_raw to have the exceptions raised instead.'"
"def libvlc_vlm_get_media_instance_title(p_instance, psz_name, i_instance): 
    f = (_Cfunctions.get('libvlc_vlm_get_media_instance_title', None) or _Cfunction('libvlc_vlm_get_media_instance_title', ((1,), (1,), (1,)), None, ctypes.c_int, Instance, ctypes.c_char_p, ctypes.c_int)) 
   return f(p_instance, psz_name, i_instance)"," 'Get the title of the media instance. 
 @param p_instance: the media instance. 
 @param psz_name: the name of the media instance. 
 @param i_instance: the instance number. 
 @return the title of the media instance, or -1 if an error occurred.'","'Get vlm_media instance title number by name or instance id. 
 @param p_instance: a libvlc instance. 
 @param psz_name: name of vlm media instance. 
 @param i_instance: instance id. 
 @return: title as number or -1 on error. 
 @bug: will always return 0.'"
"def IE_Dispatcher(s): 
    if (len(s) < 1): 
      return Raw(s) 
   ietype = ord(s[0]) 
   cls = ietypecls.get(ietype, Raw) 
   if ((cls == Raw) and ((ietype & 128) == 128)): 
      cls = IE_NotImplementedTLV 
   return cls(s)"," 'Dispatches IEs to their appropriate TLV class. 
 :param s: the IE to dispatch 
 :type s: bytes 
 :return: the IE as a TLV object 
 :rtype: :class:`TLV`'",'Choose the correct Information Element class.'
"def combine_path_lists(*path_seqs): 
    results = [] 
   for path in combine_lists(*path_seqs): 
      expanded = expand_path(path) 
      paths = (sorted(glob.glob(expanded)) or [expanded]) 
      results.extend(paths) 
   return results"," 'Combine the paths from multiple path sequences. 
 :param path_seqs: A list of path sequences. 
 :return: A list of paths. 
 :rtype: list'","'Concatenate the given sequences into a list. Ignore None values. 
 Resolve ``~`` (home dir) and environment variables, and expand globs 
 that refer to the local filesystem. 
 .. versionchanged:: 0.4.6 
 Can take single strings as well as lists.'"
"def first_ip(network): 
    atoi = (lambda addr: struct.unpack('!I', socket.inet_aton(addr))[0]) 
   itoa = (lambda addr: socket.inet_ntoa(struct.pack('!I', addr))) 
   (address, netmask) = network.split('/') 
   netmask_i = ((4294967295 << (32 - atoi(netmask))) & 4294967295) 
   return itoa(((atoi(address) & netmask_i) + 1))", 'Returns the first IP address of a network.',"'Return the first IPv4 address in network 
 Args: 
 network (str): network in CIDR format 
 Returns: 
 str: first IPv4 address'"
