Function,Generated,Ground Truth
"public DataStreamSink<T> setUidHash(String uidHash) {
    transformation.setUidHash(uidHash);
    return this;
}", sets the uid hash for the data stream sink,sets an user provided hash for this operator
"List<SplitT> getAndRemoveUncheckpointedAssignment(int subtaskId, long restoredCheckpointId) {
    return assignmentTracker.getAndRemoveUncheckpointedAssignment(
            subtaskId, restoredCheckpointId);
}", get the assignment for the specified subtask id and remove it from the tracker if it is not part of the checkpoint with the specified id,get the split to put back
"public void reset() {
    this.ordering = null;
    this.groupedFields = null;
}", resets this aggregator to its initial state,this method resets the local properties to a state where no properties are given
"public static void checkInterrupted(Throwable e) {
    if (e instanceof InterruptedException) {
        Thread.currentThread().interrupt();
    }
}", checks the exception to see if it is an interrupted exception and if so sets the thread s interrupted flag,checks whether the given exception is a interrupted exception and sets the interrupted flag accordingly
"public static void deleteChannel(ID channel) {
    if (channel != null) {
        if (channel.getPathFile().exists() && !channel.getPathFile().delete()) {
            LOG.warn(""IOManager failed to delete temporary file {}"", channel.getPath());
        }
    }
}", deletes the channel and the underlying temporary file if it exists,deletes the file underlying the given channel
"private static <T> PojoSerializerSnapshot<T> buildSnapshot(
        Class<T> pojoType,
        LinkedHashMap<Class<?>, Integer> registeredSubclassesToTags,
        TypeSerializer<?>[] registeredSubclassSerializers,
        Field[] fields,
        TypeSerializer<?>[] fieldSerializers,
        Map<Class<?>, TypeSerializer<?>> nonRegisteredSubclassSerializerCache) {

    final LinkedHashMap<Class<?>, TypeSerializer<?>> subclassRegistry =
            new LinkedHashMap<>(registeredSubclassesToTags.size());

    for (Map.Entry<Class<?>, Integer> entry : registeredSubclassesToTags.entrySet()) {
        subclassRegistry.put(entry.getKey(), registeredSubclassSerializers[entry.getValue()]);
    }

    return new PojoSerializerSnapshot<>(
            pojoType,
            fields,
            fieldSerializers,
            subclassRegistry,
            nonRegisteredSubclassSerializerCache);
}", builds a snapshot of the pojo serializer,build and return a snapshot of the serializer s parameters and currently cached serializers
"static int readAndVerifyCoordinatorSerdeVersion(DataInputStream in) throws IOException {
    int version = in.readInt();
    if (version > CURRENT_VERSION) {
        throw new IOException(""Unsupported source coordinator serde version "" + version);
    }
    return version;
}", reads the version number from the input stream and verifies that it is equal to the current version,read and verify the serde version
"long getCheckpointStartDelayNanos() {
    return barrierHandler.getCheckpointStartDelayNanos();
}",0,the time that elapsed in nanoseconds between the creation of the latest checkpoint and the time when it s first checkpoint barrier was received by this input gate
"public String[] getHostnames() {
    return this.hostnames;
}", returns the hostnames of the nodes that are part of the cluster,returns the names of the hosts storing the data this input split refers to
"public void markFailed(Throwable t) {
    currentExecution.markFailed(t);
}", marks the current execution as failed with the given throwable,this method marks the task as failed but will make no attempt to remove task execution from the task manager
"public DataSink<T> setParallelism(int parallelism) {
    OperatorValidationUtils.validateParallelism(parallelism);

    this.parallelism = parallelism;

    return this;
}", sets the parallelism of the data sink operator,sets the parallelism for this data sink
"public static boolean supportsExplicitCast(LogicalType sourceType, LogicalType targetType) {
    return supportsCasting(sourceType, targetType, true);
}","
    checks if the given source type can be explicitly cast to the given target type",returns whether the source type can be casted to the target type
"public static Map<String, Object> deserializeAndUnwrapAccumulators(
        Map<String, SerializedValue<OptionalFailure<Object>>> serializedAccumulators,
        ClassLoader loader)
        throws IOException, ClassNotFoundException {

    Map<String, OptionalFailure<Object>> deserializedAccumulators =
            deserializeAccumulators(serializedAccumulators, loader);

    if (deserializedAccumulators.isEmpty()) {
        return Collections.emptyMap();
    }

    Map<String, Object> accumulators = new HashMap<>(serializedAccumulators.size());

    for (Map.Entry<String, OptionalFailure<Object>> entry :
            deserializedAccumulators.entrySet()) {
        accumulators.put(entry.getKey(), entry.getValue().getUnchecked());
    }

    return accumulators;
}", deserialize and unwrap accumulators,takes the serialized accumulator results and tries to deserialize them using the provided class loader and then try to unwrap the value unchecked
"public static boolean isCompletedNormally(CompletableFuture<?> future) {
    return future.isDone() && !future.isCompletedExceptionally();
}", checks if the given completable future has been completed normally,true if future has completed normally false otherwise
"public static int hashBytesByWords(MemorySegment segment, int offset, int lengthInBytes) {
    return hashBytesByWords(segment, offset, lengthInBytes, DEFAULT_SEED);
}",1 hashes the given segment using the default seed and returns the resulting hash code as int,hash bytes in memory segment length must be aligned to 0 bytes
"public static Runnable withUncaughtExceptionHandler(
        Runnable runnable, Thread.UncaughtExceptionHandler uncaughtExceptionHandler) {
    return () -> {
        try {
            runnable.run();
        } catch (Throwable t) {
            uncaughtExceptionHandler.uncaughtException(Thread.currentThread(), t);
        }
    };
}", returns a runnable that invokes the specified runnable and if it throws a throwable it will be passed to the specified uncaught exception handler,guard runnable with uncaught exception handler because java
"public static <
                T0,
                T1,
                T2,
                T3,
                T4,
                T5,
                T6,
                T7,
                T8,
                T9,
                T10,
                T11,
                T12,
                T13,
                T14,
                T15,
                T16,
                T17,
                T18,
                T19,
                T20,
                T21>
        Tuple22<
                        T0,
                        T1,
                        T2,
                        T3,
                        T4,
                        T5,
                        T6,
                        T7,
                        T8,
                        T9,
                        T10,
                        T11,
                        T12,
                        T13,
                        T14,
                        T15,
                        T16,
                        T17,
                        T18,
                        T19,
                        T20,
                        T21>
                of(
                        T0 f0,
                        T1 f1,
                        T2 f2,
                        T3 f3,
                        T4 f4,
                        T5 f5,
                        T6 f6,
                        T7 f7,
                        T8 f8,
                        T9 f9,
                        T10 f10,
                        T11 f11,
                        T12 f12,
                        T13 f13,
                        T14 f14,
                        T15 f15,
                        T16 f16,
                        T17 f17,
                        T18 f18,
                        T19 f19,
                        T20 f20,
                        T21 f21) {
    return new Tuple22<>(
            f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18,
            f19, f20, f21);
}",22 elements tuple,creates a new tuple and assigns the given values to the tuple s fields
"public void finish(StreamTaskActionExecutor actionExecutor, StopMode stopMode)
        throws Exception {
    if (!isHead && stopMode == StopMode.DRAIN) {
            
            
        actionExecutor.runThrowing(() -> endOperatorInput(1));
    }

    quiesceTimeServiceAndFinishOperator(actionExecutor, stopMode);

        
    if (next != null) {
        next.finish(actionExecutor, stopMode);
    }
}","
    finishes the operator by quiescing the time service and then finishing the operator itself",finishes the wrapped operator and propagates the finish operation to the next wrapper that the next points to
"protected int getCurrentBackoff() {
    return currentBackoff <= 0 ? 0 : currentBackoff;
}",NO_OUTPUT,returns the current backoff in ms
"public GlobalProperties getGlobalProperties() {
    return this.globalProps;
}", returns the global properties for this session,gets the global properties from this plan node
"public Configuration getParameters() {
    return this.parameters;
}", get the parameters of the job,configuration for the output format
"public MemorySize getTotalMemory() {
    throwUnsupportedOperationExceptionIfUnknown();
    return getOperatorsMemory().add(networkMemory);
}",0,get the total memory needed
"public static int getSystemPageSizeOrConservativeMultiple() {
    final int pageSize = getSystemPageSize();
    return pageSize == PAGE_SIZE_UNKNOWN ? CONSERVATIVE_PAGE_SIZE_MULTIPLE : pageSize;
}",2048,tries to get the system page size
"public void testAtLeastOnceProducer() throws Throwable {
    final DummyFlinkKafkaProducer<String> producer =
            new DummyFlinkKafkaProducer<>(
                    FakeStandardProducerConfig.get(),
                    new KeyedSerializationSchemaWrapper<>(new SimpleStringSchema()),
                    null);
    producer.setFlushOnCheckpoint(true);

    final KafkaProducer<?, ?> mockProducer = producer.getMockKafkaProducer();

    final OneInputStreamOperatorTestHarness<String, Object> testHarness =
            new OneInputStreamOperatorTestHarness<>(new StreamSink<>(producer));

    testHarness.open();

    testHarness.processElement(new StreamRecord<>(""msg-1""));
    testHarness.processElement(new StreamRecord<>(""msg-2""));
    testHarness.processElement(new StreamRecord<>(""msg-3""));

    verify(mockProducer, times(3)).send(any(ProducerRecord.class), any(Callback.class));
    Assert.assertEquals(3, producer.getPendingSize());

        
    CheckedThread snapshotThread =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                        
                        
                        
                    testHarness.snapshot(123L, 123L);
                }
            };
    snapshotThread.start();

        
        
        
    producer.waitUntilFlushStarted();
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());

        
    producer.getPendingCallbacks().get(0).onCompletion(null, null);
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());
    Assert.assertEquals(2, producer.getPendingSize());

    producer.getPendingCallbacks().get(1).onCompletion(null, null);
    Assert.assertTrue(
            ""Snapshot returned before all records were flushed"", snapshotThread.isAlive());
    Assert.assertEquals(1, producer.getPendingSize());

    producer.getPendingCallbacks().get(2).onCompletion(null, null);
    Assert.assertEquals(0, producer.getPendingSize());

        
        
    snapshotThread.sync();

    testHarness.close();
}", this test checks that the at-least-once producer guarantees that all records are flushed when a checkpoint is taken,test ensuring that the producer is not dropping buffered records we set a timeout because the test will not finish if the logic is broken
"public void testConfigOptionExclusion() {
    final String expectedTable =
            ""<table class=\""configuration table table-bordered\"">\n""
                    + ""    <thead>\n""
                    + ""        <tr>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 20%\"">Key</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 15%\"">Default</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 10%\"">Type</th>\n""
                    + ""            <th class=\""text-left\"" style=\""width: 55%\"">Description</th>\n""
                    + ""        </tr>\n""
                    + ""    </thead>\n""
                    + ""    <tbody>\n""
                    + ""        <tr>\n""
                    + ""            <td><h5>first.option.a</h5></td>\n""
                    + ""            <td style=\""word-wrap: break-word;\"">2</td>\n""
                    + ""            <td>Integer</td>\n""
                    + ""            <td>This is example description for the first option.</td>\n""
                    + ""        </tr>\n""
                    + ""    </tbody>\n""
                    + ""</table>\n"";
    final String htmlTable =
            ConfigOptionsDocGenerator.generateTablesForClass(TestConfigGroupWithExclusion.class)
                    .get(0)
                    .f1;

    assertEquals(expectedTable, htmlTable);
}",NO_OUTPUT,tests that config option annotated with documentation
"public T tryPollEntry() {
    return pool.poll();
}", tries to remove and return the head of the queue represented by this deque,tries to get the next cached entry
"public void testLocalOverSizedResponseMsgSync() throws Exception {
    final String message =
            runLocalMessageResponseTest(OVERSIZED_PAYLOAD, MessageRpcGateway::messageSync);
    assertThat(message, is(equalTo(OVERSIZED_PAYLOAD)));
}", test local message response with a message that is larger than the max frame size,tests that we can send arbitrarily large objects when communicating locally with the rpc endpoint
"public void setPlannerConfig(PlannerConfig plannerConfig) {
    this.plannerConfig = Preconditions.checkNotNull(plannerConfig);
}", sets the planner config,sets the configuration of planner for table api and sql queries
"public CompletableFuture<?> getAvailableFuture() {
    return availabilityHelper.getAvailableFuture();
}", this method returns a completable future that completes when the service is available,returns a future that is completed when there are free segments in this pool
"private List<RequestEntryT> createNextAvailableBatch() {
    int batchSize = Math.min(maxBatchSize, bufferedRequestEntries.size());
    List<RequestEntryT> batch = new ArrayList<>(batchSize);

    int batchSizeBytes = 0;
    for (int i = 0; i < batchSize; i++) {
        long requestEntrySize = bufferedRequestEntries.peek().getSize();
        if (batchSizeBytes + requestEntrySize > maxBatchSizeInBytes) {
            break;
        }
        RequestEntryWrapper<RequestEntryT> elem = bufferedRequestEntries.remove();
        batch.add(elem.getRequestEntry());
        bufferedRequestEntriesTotalSizeInBytes -= requestEntrySize;
        batchSizeBytes += requestEntrySize;
    }

    numRecordsOutCounter.inc(batch.size());
    numBytesOutCounter.inc(batchSizeBytes);

    return batch;
}", creates a batch of request entries that can be sent to the server,creates the next batch of request entries while respecting the max batch size and max batch size in bytes
"public static List<Vertex<Long, Long>> getLongLongVertices() {
    List<Vertex<Long, Long>> vertices = new ArrayList<>();
    vertices.add(new Vertex<>(1L, 1L));
    vertices.add(new Vertex<>(2L, 2L));
    vertices.add(new Vertex<>(3L, 3L));
    vertices.add(new Vertex<>(4L, 4L));
    vertices.add(new Vertex<>(5L, 5L));

    return vertices;
}", returns a list of vertices with long long values for the id and value,function that produces an array list of vertices
"public void testBackpressure() throws Throwable {
    final Deadline deadline = Deadline.fromNow(Duration.ofSeconds(10));

    final DummyFlinkKinesisProducer<String> producer =
            new DummyFlinkKinesisProducer<>(new SimpleStringSchema());
    producer.setQueueLimit(1);

    OneInputStreamOperatorTestHarness<String, Object> testHarness =
            new OneInputStreamOperatorTestHarness<>(new StreamSink<>(producer));

    testHarness.open();

    UserRecordResult result = mock(UserRecordResult.class);
    when(result.isSuccessful()).thenReturn(true);

    CheckedThread msg1 =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                    testHarness.processElement(new StreamRecord<>(""msg-1""));
                }
            };
    msg1.start();
    msg1.trySync(deadline.timeLeftIfAny().toMillis());
    assertFalse(""Flush triggered before reaching queue limit"", msg1.isAlive());

        
    producer.getPendingRecordFutures().get(0).set(result);

    CheckedThread msg2 =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                    testHarness.processElement(new StreamRecord<>(""msg-2""));
                }
            };
    msg2.start();
    msg2.trySync(deadline.timeLeftIfAny().toMillis());
    assertFalse(""Flush triggered before reaching queue limit"", msg2.isAlive());

    CheckedThread moreElementsThread =
            new CheckedThread() {
                @Override
                public void go() throws Exception {
                        
                    testHarness.processElement(new StreamRecord<>(""msg-3""));
                        
                    testHarness.processElement(new StreamRecord<>(""msg-4""));
                }
            };
    moreElementsThread.start();

    assertTrue(""Producer should still block, but doesn't"", moreElementsThread.isAlive());

        
    while (producer.getPendingRecordFutures().size() < 2) {
        Thread.sleep(50);
    }
    producer.getPendingRecordFutures().get(1).set(result);

    assertTrue(""Producer should still block, but doesn't"", moreElementsThread.isAlive());

        
    while (producer.getPendingRecordFutures().size() < 3) {
        Thread.sleep(50);
    }
    producer.getPendingRecordFutures().get(2).set(result);

    moreElementsThread.trySync(deadline.timeLeftIfAny().toMillis());

    assertFalse(
            ""Prodcuer still blocks although the queue is flushed"",
            moreElementsThread.isAlive());

    producer.getPendingRecordFutures().get(3).set(result);

    testHarness.close();
}","
    this test checks that the sink does not block if the queue is full",test ensuring that the producer blocks if the queue limit is exceeded until the queue length drops below the limit we set a timeout because the test will not finish if the logic is broken
"protected SqlNode performUnconditionalRewrites(SqlNode node, boolean underFrom) {
    if (node == null) {
        return null;
    }

    SqlNode newOperand;

        
    if (node instanceof SqlCall) {
        if (node instanceof SqlMerge) {
            validatingSqlMerge = true;
        }
        SqlCall call = (SqlCall) node;
        final SqlKind kind = call.getKind();
        final List<SqlNode> operands = call.getOperandList();
        for (int i = 0; i < operands.size(); i++) {
            SqlNode operand = operands.get(i);
            boolean childUnderFrom;
            if (kind == SqlKind.SELECT) {
                childUnderFrom = i == SqlSelect.FROM_OPERAND;
            } else if (kind == SqlKind.AS && (i == 0)) {
                    
                    
                childUnderFrom = underFrom;
            } else {
                childUnderFrom = false;
            }
            newOperand = performUnconditionalRewrites(operand, childUnderFrom);
            if (newOperand != null && newOperand != operand) {
                call.setOperand(i, newOperand);
            }
        }

        if (call.getOperator() instanceof SqlUnresolvedFunction) {
            assert call instanceof SqlBasicCall;
            final SqlUnresolvedFunction function = (SqlUnresolvedFunction) call.getOperator();
                
                
                
                
            final List<SqlOperator> overloads = new ArrayList<>();
            opTab.lookupOperatorOverloads(
                    function.getNameAsId(),
                    function.getFunctionType(),
                    SqlSyntax.FUNCTION,
                    overloads,
                    catalogReader.nameMatcher());
            if (overloads.size() == 1) {
                ((SqlBasicCall) call).setOperator(overloads.get(0));
            }
        }
        if (config.callRewrite()) {
            node = call.getOperator().rewriteCall(this, call);
        }
    } else if (node instanceof SqlNodeList) {
        SqlNodeList list = (SqlNodeList) node;
        for (int i = 0, count = list.size(); i < count; i++) {
            SqlNode operand = list.get(i);
            newOperand = performUnconditionalRewrites(operand, false);
            if (newOperand != null) {
                list.getList().set(i, newOperand);
            }
        }
    }

        
    final SqlKind kind = node.getKind();
    switch (kind) {
        case VALUES:
                
            if (underFrom || true) {
                    
                    
                    
                return node;
            } else {
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                return new SqlSelect(
                        node.getParserPosition(),
                        null,
                        selectList,
                        node,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null);
            }

        case ORDER_BY:
            {
                SqlOrderBy orderBy = (SqlOrderBy) node;
                handleOffsetFetch(orderBy.offset, orderBy.fetch);
                if (orderBy.query instanceof SqlSelect) {
                    SqlSelect select = (SqlSelect) orderBy.query;

                        
                        
                    if (select.getOrderList() == null) {
                            
                        select.setOrderBy(orderBy.orderList);
                        select.setOffset(orderBy.offset);
                        select.setFetch(orderBy.fetch);
                        return select;
                    }
                }
                if (orderBy.query instanceof SqlWith
                        && ((SqlWith) orderBy.query).body instanceof SqlSelect) {
                    SqlWith with = (SqlWith) orderBy.query;
                    SqlSelect select = (SqlSelect) with.body;

                        
                        
                    if (select.getOrderList() == null) {
                            
                        select.setOrderBy(orderBy.orderList);
                        select.setOffset(orderBy.offset);
                        select.setFetch(orderBy.fetch);
                        return with;
                    }
                }
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                final SqlNodeList orderList;
                if (getInnerSelect(node) != null && isAggregate(getInnerSelect(node))) {
                    orderList = SqlNode.clone(orderBy.orderList);
                        
                        
                    for (int i = 0; i < orderList.size(); i++) {
                        SqlNode sqlNode = orderList.get(i);
                        SqlNodeList selectList2 = getInnerSelect(node).getSelectList();
                        for (Ord<SqlNode> sel : Ord.zip(selectList2)) {
                            if (stripAs(sel.e).equalsDeep(sqlNode, Litmus.IGNORE)) {
                                orderList.set(
                                        i,
                                        SqlLiteral.createExactNumeric(
                                                Integer.toString(sel.i + 1),
                                                SqlParserPos.ZERO));
                            }
                        }
                    }
                } else {
                    orderList = orderBy.orderList;
                }
                return new SqlSelect(
                        SqlParserPos.ZERO,
                        null,
                        selectList,
                        orderBy.query,
                        null,
                        null,
                        null,
                        null,
                        orderList,
                        orderBy.offset,
                        orderBy.fetch,
                        null);
            }

        case EXPLICIT_TABLE:
            {
                    
                SqlCall call = (SqlCall) node;
                final SqlNodeList selectList = new SqlNodeList(SqlParserPos.ZERO);
                selectList.add(SqlIdentifier.star(SqlParserPos.ZERO));
                return new SqlSelect(
                        SqlParserPos.ZERO,
                        null,
                        selectList,
                        call.operand(0),
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null,
                        null);
            }

        case DELETE:
            {
                SqlDelete call = (SqlDelete) node;
                SqlSelect select = createSourceSelectForDelete(call);
                call.setSourceSelect(select);
                break;
            }

        case UPDATE:
            {
                SqlUpdate call = (SqlUpdate) node;
                SqlSelect select = createSourceSelectForUpdate(call);
                call.setSourceSelect(select);

                    
                    
                    
                if (!validatingSqlMerge) {
                    SqlNode selfJoinSrcExpr =
                            getSelfJoinExprForUpdate(call.getTargetTable(), UPDATE_SRC_ALIAS);
                    if (selfJoinSrcExpr != null) {
                        node = rewriteUpdateToMerge(call, selfJoinSrcExpr);
                    }
                }
                break;
            }

        case MERGE:
            {
                SqlMerge call = (SqlMerge) node;
                rewriteMerge(call);
                break;
            }
    }
    return node;
}","
    performs unconditional rewrites on a node
    the rewrites are done in the following order
    - if the node is a call
    - if the node is a select
    - if the node is a delete
    - if the node is an update
    - if the node is a merge
    - if the node is an explicit table
    - if the node is a values
    - if the node is an order by
    - if the node is a with
    - if the node is a set op
    - if the node is a column list
    - if the node is a dynamic param
    - if the node is a literal
    - if the node is a function call
    - if the node is a case when
    - if the node is a cast
    - if the node is a field access
    - if the node is a subscript
    - if the node is a dynamic param
    - if the node is a literal
    - if the node is a function call
    - if the node is a case when
    - if the node is a cast
    - if the node is a field access
    -",performs expression rewrites which are always used unconditionally
"private FileSystem getFileSystem() throws IOException {
    return FileSystem.get(filePath.toUri());
}", returns the file system for the file path,gets the file system that stores the file state
"public <W extends Window> WindowReader<W> window(TypeSerializer<W> windowSerializer) {
    Preconditions.checkNotNull(windowSerializer, ""The window serializer must not be null"");
    return new WindowReader<>(env, metadata, stateBackend, windowSerializer);
}", returns a window reader that can be used to read the windows of a window stream,read window state from an operator in a savepoint
